imdb_id,original_title,popularity,budget,revenue,title_wordcount,hasWebpage,runtime,ReleaseOnWeekend,vote_count,vote_average,release_year,budget_adj,revenue_adj
tt0369610,Jurassic World,32.985763,150000000,1513528810,2,1,124,0,5562,6.5,2015,137999939.280026,1392445892.5238
tt1392190,Mad Max: Fury Road,28.419936,150000000,378436354,4,1,120,0,6185,7.1,2015,137999939.280026,348161292.489031
tt2908446,Insurgent,13.112507,110000000,295238201,1,1,119,0,2480,6.3,2015,101199955.472019,271619025.407628
tt2488496,Star Wars: The Force Awakens,11.173104,200000000,2068178225,5,1,136,0,5292,7.5,2015,183999919.040035,1902723129.80182
tt2820852,Furious 7,9.335014,190000000,1506249360,2,1,137,0,2947,7.3,2015,174799923.088033,1385748801.47052
tt1663202,The Revenant,9.1107,135000000,532950503,2,1,156,1,3929,7.2,2015,124199945.352024,490314247.021731
tt1340138,Terminator Genisys,8.654359,155000000,440603537,2,1,125,0,2598,5.8,2015,142599937.256027,405355075.683766
tt3659388,The Martian,7.6674,108000000,595380321,2,1,141,0,4572,7.6,2015,99359956.2816192,547749654.310152
tt2293640,Minions,7.40416499999999,74000000,1156730962,1,1,91,0,2893,6.5,2015,68079970.0448131,1064192016.79551
tt2096673,Inside Out,6.326804,175000000,853708609,2,1,94,0,3935,8.0,2015,160999929.160031,785411574.698907
tt2379713,Spectre,6.200282,245000000,880674609,1,1,148,0,3254,6.2,2015,225399900.824043,810220283.783075
tt1617661,Jupiter Ascending,6.189369,176000003,183987723,2,1,124,0,1937,5.2,2015,161919931.51523,169268630.681802
tt0470752,Ex Machina,6.118847,15000000,36869414,2,1,108,0,2854,7.6,2015,13799993.9280026,33919845.9552677
tt2120120,Pixels,5.984995,88000000,243637091,1,1,105,0,1575,5.8,2015,80959964.3776156,224146025.095748
tt2395427,Avengers: Age of Ultron,5.944927,280000000,1405035767,4,1,141,0,4304,7.4,2015,257599886.656049,1292632336.88177
tt3460252,The Hateful Eight,5.8984,44000000,155760117,3,1,167,1,2389,7.4,2015,40479982.1888078,143299244.588332
tt2446042,Taken 3,5.749758,48000000,325771424,2,1,109,0,1578,6.1,2015,44159980.5696085,299709578.207785
tt0478970,Ant-Man,5.573184,130000000,518602163,1,1,115,0,3779,7.0,2015,119599947.376023,477113780.029936
tt1661199,Cinderella,5.556818,95000000,542351353,1,0,112,0,1495,6.8,2015,87399961.5440169,498963025.216268
tt1951266,The Hunger Games: Mockingjay - Part 2,5.476958,160000000,650523427,7,1,136,0,2380,6.5,2015,147199935.232028,598481289.508232
tt1964418,Tomorrowland,5.462138,190000000,209035668,1,1,130,0,1899,6.2,2015,174799923.088033,192312729.942398
tt1798684,Southpaw,5.337064,30000000,91709827,1,0,123,0,1386,7.3,2015,27599987.8560053,84373003.7158783
tt2126355,San Andreas,4.907832,110000000,470490832,2,1,114,0,2060,6.1,2015,101199955.472019,432851374.985395
tt2322441,Fifty Shades of Grey,4.71040199999999,40000000,569651467,4,1,125,0,1865,5.3,2015,36799983.8080071,524079119.045187
tt1596363,The Big Short,4.648046,28000000,133346506,3,1,130,1,1545,7.3,2015,25759988.6656049,122678731.541358
tt2381249,Mission: Impossible - Rogue Nation,4.566713,150000000,682330139,5,1,131,0,2349,7.1,2015,137999939.280026,627743451.672881
tt2637276,Ted 2,4.564549,68000000,215863606,2,0,115,0,1666,6.3,2015,62559972.4736121,198594430.13845
tt2802144,Kingsman: The Secret Service,4.503789,81000000,403802136,4,1,130,1,3833,7.6,2015,74519967.2112144,371497801.660967
tt1895587,Spotlight,4.062293,20000000,88346473,1,1,128,1,1559,7.8,2015,18399991.9040035,81278719.3973634
tt4046784,Maze Runner: The Scorch Trials,3.968891,61000000,311256926,5,1,132,0,1849,6.4,2015,56119975.3072108,286356245.923251
tt1823672,Chappie,3.899557,49000000,102069268,1,1,120,0,1990,6.6,2015,45079980.1648087,93903685.2423785
tt2848292,Pitch Perfect 2,3.877764,29000000,287506194,3,0,115,0,1264,6.8,2015,26679988.2608051,264505582.097543
tt3682448,Bridge of Spies,3.64821,40000000,162610473,3,0,141,0,1638,7.1,2015,36799983.8080071,149601569.335309
tt1051904,Goosebumps,3.644541,58000000,150170815,1,1,103,0,600,6.2,2015,53359976.5216103,138157089.01088
tt3170832,Room,3.557846,6000000,35401758,1,1,117,1,1520,8.0,2015,5519997.57120106,32569603.0293746
tt1979388,The Good Dinosaur,3.339135,175000000,331926147,3,1,93,1,1087,6.6,2015,160999929.160031,305371920.876354
tt2199571,Run All Night,3.23737,50000000,71561644,3,0,114,0,814,6.3,2015,45999979.7600089,65836683.5118592
tt2381111,Brooklyn,3.227329,11000000,62076141,1,1,111,0,754,7.3,2015,10119995.5472019,57110024.5915891
tt1398426,Straight Outta Compton,3.202719,28000000,201634991,3,1,147,0,918,7.7,2015,25759988.6656049,185504110.098191
tt1618442,The Last Witch Hunter,3.080505,90000000,140396650,4,1,106,0,879,5.6,2015,82799963.568016,129164861.167461
tt2080374,Steve Jobs,3.079522,30000000,34441873,2,1,122,1,1035,6.9,2015,27599987.8560053,31686509.2179359
tt1638355,The Man from U.N.C.L.E.,3.053421,75000000,108145109,4,0,116,0,1548,7.0,2015,68999969.6400133,99493456.5028791
tt1655441,The Age of Adaline,3.025852,25000000,42629776,4,1,112,0,1221,7.3,2015,22999989.8800044,39219376.6634742
tt3072482,Hardcore Henry,3.023253,10000000,14333790,2,1,97,1,396,5.9,2015,9199995.95200178,13187080.9976843
tt2224026,Home,2.976436,135000000,368871007,1,1,94,0,1060,6.9,2015,124199945.352024,339361177.121082
tt3622592,Paper Towns,2.968254,12000000,85512300,2,0,109,0,1252,6.2,2015,11039995.1424021,78671281.3846362
tt3464902,The Lobster,2.885126,4000000,9064511,2,1,118,0,638,6.6,2015,3679998.38080071,8339346.45068756
tt2402927,Carol,2.883233,11800000,40272135,1,1,118,1,562,7.1,2015,10855995.2233621,37050347.8978469
tt2361509,The Intern,2.814802,35000000,194564672,2,1,121,0,1255,7.1,2015,32199985.8320062,178999419.480255
tt2719848,Everest,2.798017,55000000,203427584,1,1,121,0,1172,6.7,2015,50599977.7360098,187153294.93255
tt2446980,Joy,2.793297,60000000,101134059,1,1,124,0,1001,6.4,2015,55199975.7120106,93043293.3409509
tt2058673,Point Break,2.614499,105000000,133718711,2,1,114,0,505,5.5,2015,96599957.4960187,123021159.990689
tt2503944,Burnt,2.584264,20000000,36606743,1,1,100,1,631,6.3,2015,18399991.9040035,33678188.7415969
tt2140379,Self/less,2.578919,26000000,30523226,1,1,116,1,719,6.2,2015,23919989.4752046,28081355.5642035
tt3045616,Mortdecai,2.575711,60000000,30418560,1,1,106,0,696,5.3,2015,55199975.7120106,27985062.8865723
tt0810819,The Danish Girl,2.557859,15000000,64191523,3,0,120,1,867,7.3,2015,13799993.9280026,59056175.1752829
tt2717822,Blackhat,2.550747,70000000,17752940,1,1,133,0,584,5.0,2015,64399971.6640124,16332697.613613
